product link,title,Discounted price,Original price,code
https://www.lookmazing.com/milano-formals-strapless-chiffon-short-dress-with-flower-accent-e1379/products/15828852,MILANO FORMALS - STRAPLESS CHIFFON SHORT DRESS WITH FLOWER ACCENT E1379,,156.0,E1379
https://www.lookmazing.com/milano-formals-long-empire-waist-spaghetti-strap-gown-f1116/products/15828826,MILANO FORMALS - LONG EMPIRE WAIST SPAGHETTI STRAP GOWN F1116,,156.0,F1116
https://www.lookmazing.com/milano-formals-e1385-bridesmaid-dress/products/15694996,MILANO FORMALS - E1385 BRIDESMAID DRESS,,156.0,E1385
https://www.lookmazing.com/milano-formals-e1391-bridesmaid-dress/products/15695000,MILANO FORMALS - E1391 BRIDESMAID DRESS,,156.0,E1391
https://www.lookmazing.com/milano-formals-e1371-short-dress/products/17242443,MILANO FORMALS - E1371 SHORT DRESS,,156.0,E1371
https://www.lookmazing.com/milano-formals-strapless-pleated-long-satin-a-line-gown-b8865/products/15828829,MILANO FORMALS - STRAPLESS PLEATED LONG SATIN A-LINE GOWN B8865,,156.0,B8865
https://www.lookmazing.com/milano-formals-off-shoulder-ruched-a-line-chiffon-gown-e1260/products/15828855,MILANO FORMALS - OFF-SHOULDER RUCHED A LINE CHIFFON GOWN E1260,,156.0,E1260
https://www.lookmazing.com/milano-formals-strapless-sweetheart-pleated-bodice-short-dress-e1264/products/15828834,MILANO FORMALS - STRAPLESS SWEETHEART PLEATED BODICE SHORT DRESS E1264,,156.0,E1264
https://www.lookmazing.com/milano-formals-e1386-bridesmaid-dress/products/17242428,MILANO FORMALS - E1386 BRIDESMAID DRESS,,156.0,E1386
https://www.lookmazing.com/milano-formals-ribbon-applique-semi-sweetheart-satin-dress-e1285/products/15828858,MILANO FORMALS - RIBBON APPLIQUE SEMI-SWEETHEART SATIN DRESS E1285,,156.0,E1285
https://www.lookmazing.com/milano-formals-spaghetti-strap-chiffon-long-gown-f570/products/15828823,MILANO FORMALS - SPAGHETTI STRAP CHIFFON LONG GOWN F570,,156.0,F570
