CODE,COLOR,PHOTO,COUNT,NOT IN INVENTORY
AA9332,WHITE,NO,0,
AA9332,OFF-WHITE,NO,0,
AA9335,WHITE,NO,0,
AA9336,WHITE,NO,0,
AA9346,IVORY,YES,4,
AA9349,WHITE,NO,0,
AA9349,IVORY,YES,2,
B1194,SKY-BLUE,NO,0,
B8320,ORANGE,NO,0,
B8401,SKY-BLUE,NO,0,
B8401,SKYBLUE,NO,0,
B8468,BLACK,NO,0,
B8472,SAGE,NO,0,
B8486,BLACK,NO,0,
B8486,BLACK-FUCHSIA,NO,0,
B8486,BLACK-LILAC,NO,0,
B8486,BLACK-LIME,NO,0,
B8486,BLACKFUCHSIA,NO,0,
B8486,BLOCK-LILAC,NO,0,
B8506,PINK,NO,0,
B8588,PINK,NO,0,
B8588,SKYBLUE-BLACK,NO,0,
B8588,SKY-BLUE,NO,0,
B8588,FUCHSIA,NO,0,
B8608,SKY-BLUE,NO,0,
B8608,LILAC,YES,1,
B8608,PINK,NO,0,
B8621,BLACK-SKYBLUE,NO,0,
B8621,BLACK-LILAC,NO,0,
B8622,LILAC,NO,0,
B8654,FUCHSIA,NO,0,
B8660,MELON,NO,0,
B8661,ORANGE,NO,0,
B8667,YELLOW,NO,0,
B8691,MELON,NO,0,
B8716,FUCHSIA,NO,0,
B8716,FUCSHIA,NO,0,
B8749,GREEN,NO,0,
B8751,BROWN,NO,0,
B8808,IVORY-NAVY,NO,0,
B8808,IVORY,NO,0,
B8808,IVORY-BLACK,NO,0,
B8808,WHITE,YES,4,
B8808,NAVY-IVORY,NO,0,
B8808,TRUFFLE,NO,0,
B8808,BLACK,NO,0,
B8865,WHITE,NO,0,
B8865,PURPLE,YES,1,
B8865,SANGRIA,NO,0,
B8865,BROWN,NO,0,
B8865,CLARET,YES,3,
B8865,POOL,NO,0,
B8865,IVORY,NO,0,
B8865,SKY-BLUE,NO,0,
B8865,TRUFFLE,YES,2,
B8865,SILVER,NO,0,
B8865,ROYAL,NO,0,
B8865,SAGE,NO,0,
B8894,BROWN-CHAMPAGNE,NO,0,
B8894,CHAMPAGNE-NAVY,NO,0,
B8894,BROWN,NO,0,
B8894,NAVY,NO,0,
B8896,NAVY,NO,0,
B8896,LILAC-WHITE,NO,0,
B8896,SILVER,NO,0,
B8896,TRUFFLE,NO,0,
B8896,PURPLE-WHITE,NO,0,
B8896,TRUFFLE-WHITE,NO,0,
B8898,CORAL,NO,0,
B8921,LIGHT-GREEN,NO,0,
B8921,VIOLET,NO,0,
B8921,TRUFFLE,NO,0,
B8921,LIGHTGREEN,NO,0,
B8940,TRUFFLE,NO,0,
B8967,GREEN,NO,0,
B8998,LIGHT-GREEN,NO,0,
B8998,WHITE,NO,0,
B8998,SANGRIA,YES,3,
B8998,RED,NO,0,
B8998,CLARET,NO,0,
B8998,CORAL,NO,0,
B8998,APPLE-RED,NO,0,
B8998,POOL,NO,0,
B8998,CHAMPAGNE,NO,0,
B8998,ROYAL,YES,2,
B8998,WINE,NO,0,
B8998,TRUFFLE,NO,0,
B9000,BURGUNDY,NO,0,
B9000,PURPLE,NO,0,
B9000,TRUFFLE,NO,0,
B9000,DUSTY-PINK,NO,0,
B9000,BURNT-ORANGE,NO,0,
B9000,LILAC,NO,0,
BD2006/741,PURPLE,NO,0,
BD2006/183,MIDNIGHT-BLUE,NO,0,
BD2006/200,,NO,0,
BD2006/200,BLACK,NO,0,
BD2006/24,BLACK,NO,0,
BD2006/344,OLIVE-GREEN,NO,0,
BD2006/412,BLACK,NO,0,
BD2006/413,,NO,0,
BD2006/502,OFF-WHITE,NO,0,
BD2006/502,,NO,0,
