CODE,COLOR,PHOTO,COUNT,NOT IN INVENTORY
E2768,ROYAL,NO,0,
E2769,ROYAL,YES,1,
E2770,RED,YES,1,
E2771,TEAL,NO,0,
E2771,IVORY-NUDE,NO,0,
E2773,LIGHT-GOLD,YES,1,
E2774,BLACK,YES,1,
E2774,IVORY,NO,0,
E2775,ROYAL,NO,0,
E2778,BLUE,NO,0,
E2778,BLUSH,NO,0,
E2779,PINK,NO,0,
E2781,ROYAL,NO,0,
E2781,RED,NO,0,
E2781,YELLOW,NO,0,
E2785,GOLD,YES,1,
E2786,PURPLE,YES,1,
E2787,NAVY,NO,0,
E5105,BLACK,NO,0,
F1116,LILAC,NO,0,
F1116,CORAL,NO,0,
F1116,BANANA,NO,0,
F1116,BANANA-FLOWER,NO,0,
F1116,BURGUNDY,NO,0,
F1116,LAVENDER,NO,0,
F1116,IVORY,NO,0,
F1116,SILVER,YES,3,
F1116,GOLD,NO,0,
F1116,FUCHSIA,NO,0,
F1116,ROYAL,NO,0,
F1116,WHITE,NO,0,
F1116,TRUFFLE,NO,0,
F1116,BLACK,NO,0,
F1116,CHAMPAGNE,NO,0,
F1116,NAVY,NO,0,
F1116,PURPLE,NO,0,
F1116,SKY-BLUE,NO,0,
F1116,POOL,NO,0,
F1116,APPLE-RED,NO,0,
F1116,RED,NO,0,
F1116,SAGE,NO,0,
F1116,PINK,NO,0,
F570,CORAL,NO,0,
F570,BLACK,NO,0,
F570,NAVY,NO,0,
F570,LILAC,NO,0,
F570,LAVENDER,NO,0,
F570,ROYAL-BLUE,NO,0,
F570,BANANA-YELLOW,NO,0,
F570,PINK,NO,0,
F570,VICTORIA-LILAC,NO,0,
F570,PERRI,NO,0,
F570,FUCHSIA,NO,0,
F570,PERIWINKLE,NO,0,
F570,PEACH,NO,0,
F570,SKY-BLUE,YES,2,
F570,SILVER,NO,0,
F570,IVORY,NO,0,
F570,PURPLE,NO,0,
F570,CHAMPAGNE,NO,0,
F570,ROYAL,NO,0,
F570,,NO,0,
F570,TRUFFLE,NO,0,
F570,BANANA,NO,0,
F570,DARK-GREEN,NO,0,
F570,MINT,NO,0,
F570,SAGE,NO,0,
F570,BURGUNDY,NO,0,
F570,RED,NO,0,
F570,GREEN,NO,0,
F570,APPLE-RED,NO,0,
F570,WHITE,NO,0,
F570,POOL,NO,0,
F570,TEAL,YES,1,
F570,TURQUOISE,NO,0,
,,NO,0,
E2078,,NO,0,
BD2007/10,,NO,0,
BD2007/183,,NO,0,
E1449,,NO,0,
BD2006/66,,NO,0,
BD2006/344,,NO,0,
BD2006/24,,NO,0,
E2787,,NO,0,
E2282,YELLOW-BLACK,NO,0,
E2201,BLACK-GOLD,NO,0,
E1986,TIFFANY-POOL,NO,0,
E2000,ROYAL,NO,0,
E2011,BLUE-WHITE,NO,0,
E1980,ROSE-WINE,NO,0,
E2000,COBALT,NO,0,
E2030,,NO,0,
E1918,BOTTLEGREEN,NO,0,
AA219,WHITE-IVORY,YES,1,YES
AA221,WHITE-IVORY,YES,1,YES
AA226,IVORY,YES,1,YES
AA229,IVORY,YES,1,YES
AA233,IVORY,YES,1,YES
AA9254,WHITE-IVORY,YES,1,YES
AA9256,WHITE-IVORY,YES,1,YES
AA9304,WHITE-IVORY,YES,1,YES
AA9306,WHITE-IVORY,YES,1,YES
AA9308,WHITE-IVORY,YES,1,YES
AA9309,WHITE-IVORY,YES,1,YES
AA9310,WHITE-IVORY,YES,1,YES
AA9313,WHITE-IVORY,YES,1,YES
AA9314,WHITE-IVORY,YES,1,YES
AA9316,WHITE-IVORY,YES,1,YES
AA9317,WHITE-IVORY,YES,1,YES
AA9318,WHITE-IVORY,YES,1,YES
AA9319,WHITE-IVORY,YES,1,YES
AA9321,WHITE-IVORY,YES,1,YES
AA9322,WHITE-IVORY,YES,1,YES
AA9326,WHITE-IVORY,YES,1,YES
AA9327,WHITE-IVORY,YES,1,YES
AA9329,WHITE-IVORY,YES,1,YES
AA9330,WHITE-IVORY,YES,1,YES
AA9331,WHITE-IVORY,YES,1,YES
AA9332,WHITE-IVORY,YES,1,YES
AA9335,WHITE-IVORY,YES,1,YES
AA9336,WHITE-IVORY,YES,1,YES
B8588,SKYBLUE,YES,1,YES
E1259,SKYBLUE,YES,1,YES
E1285,FUSCHIA,YES,1,YES
E1295,FUSCHIA,YES,1,YES
E1342,FUSCHIA,YES,1,YES
E1452,LILAC,YES,1,YES
E1582,FUSCHIA,YES,1,YES
E1774,BLUSH,YES,1,YES
E1799,FUSCHIA,YES,1,YES
E1984,BLACK,YES,1,YES
E1986,TIFFANY,YES,1,YES
E2074,MIDNIGHT,YES,1,YES
E2085,BLACK,YES,1,YES
E2088,PINK,YES,1,YES
E2118,FUSCHIA,YES,1,YES
E2227,FUSCHIA,YES,1,YES
E2251,BISCOTTI,YES,1,YES
E2255,FUSCHIA,YES,1,YES
E2257,BURGUNDY,YES,1,YES
E2289,LAVNEDER,YES,1,YES
E2534,NAVY,YES,1,YES
