Handle,Color,Size,Brand,Quantity,Price_x,Code,Price_y,Description,Photo,Unnamed: 5
NV7448,RED,6,MILANO FORMALS,3,179.0,E2551,179.0,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2551_Red_1.jpg,
NV7448,RED,8,MILANO FORMALS,2,179.0,E2551,179.0,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2551_Red_1.jpg,
NV7448,RED,10,MILANO FORMALS,1,179.0,E2551,179.0,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2551_Red_1.jpg,
NV7448,RED,12,MILANO FORMALS,2,179.0,E2551,179.0,This stunning red satin halter and floral dress is sure to turn heads with this innocent flirty feel.,https://ecomm-milano-images.s3.amazonaws.com/E2551_Red_1.jpg,
NV7449,RED,0,MILANO FORMALS,3,189.0,E2550,189.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2550_Red_1.jpg,
NV7449,RED,2,MILANO FORMALS,5,189.0,E2550,189.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2550_Red_1.jpg,
NV7449,RED,4,MILANO FORMALS,7,189.0,E2550,189.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2550_Red_1.jpg,
NV7449,RED,6,MILANO FORMALS,7,189.0,E2550,189.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2550_Red_1.jpg,
NV7449,RED,8,MILANO FORMALS,8,189.0,E2550,189.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2550_Red_1.jpg,
NV7449,RED,10,MILANO FORMALS,3,189.0,E2550,189.0,Turn heads with this little red dress. The plunging V-neck is offset with a sheer red mesh completing this fully beaded bodice and satin skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2550_Red_1.jpg,
NV7450,BLACK/GREEN,0,MILANO FORMALS,1,199.0,E2549,199.0,Sweet and Sophisticated! This dress has a tight fitted V-neck top with spaghetti straps and a flirty flowy skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2549_Black Green_1.jpg,
NV7450,BLACK/GREEN,2,MILANO FORMALS,3,199.0,E2549,199.0,Sweet and Sophisticated! This dress has a tight fitted V-neck top with spaghetti straps and a flirty flowy skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2549_Black Green_1.jpg,
NV7450,BLACK/GREEN,4,MILANO FORMALS,6,199.0,E2549,199.0,Sweet and Sophisticated! This dress has a tight fitted V-neck top with spaghetti straps and a flirty flowy skirt.,https://ecomm-milano-images.s3.amazonaws.com/E2549_Black Green_1.jpg,
