Handle,Color,Size,Brand,Quantity
AT1134,TRUFFLE,34,MILANO FORMALS,2
AT1134,WHITE,2,MILANO FORMALS,1
AT1134,WHITE,4,MILANO FORMALS,4
AT1134,WHITE,6,MILANO FORMALS,2
AT1134,WHITE,8,MILANO FORMALS,7
AT1134,WHITE,10,MILANO FORMALS,2
AT1134,WHITE,12,MILANO FORMALS,7
AT1134,WHITE,16,MILANO FORMALS,3
AT1134,WHITE,20,MILANO FORMALS,1
AT1134,WHITE,24,MILANO FORMALS,3
AT1134,WHITE,28,MILANO FORMALS,2
AT1134,WHITE,32,MILANO FORMALS,3
AT1134,WHITE,34,MILANO FORMALS,2
AT1134,WHITE,36,MILANO FORMALS,1
AT1134,WHITE,40,MILANO FORMALS,2
AT1140,BLACK,8,MILANO FORMALS,1
AT1191,BLACK,30,MILANO FORMALS,1
AT1191,IVORY,8,MILANO FORMALS,25
AT1191,IVORY/BLACK,8,MILANO FORMALS,1
AT1191,IVORY/NAVY,8,MILANO FORMALS,10
AT1191,IVORY/NAVY,10,MILANO FORMALS,3
AT1191,IVORY/NAVY,12,MILANO FORMALS,6
AT1191,IVORY/NAVY,14,MILANO FORMALS,4
AT1191,NAVY/IVORY,8,MILANO FORMALS,9
AT1191,NAVY/IVORY,10,MILANO FORMALS,3
AT1191,NAVY/IVORY,12,MILANO FORMALS,1
AT1191,TRUFFLE,8,MILANO FORMALS,2
AT1191,TRUFFLE,10,MILANO FORMALS,3
AT1191,WHITE,4,MILANO FORMALS,1
AT1248,BROWN,22,MILANO FORMALS,1
AT1250,GREEN,8,ANDY ANAND,22
AT1250,GREEN,10,ANDY ANAND,4
AT1250,GREEN,12,ANDY ANAND,7
AT1250,GREEN,14,ANDY ANAND,12
AT1250,GREEN,18,ANDY ANAND,7
AT1283,FUCHSIA,22,MILANO FORMALS,1
AT1283,FUCHSIA,26,MILANO FORMALS,2
AT1283,FUCHSIA,34,MILANO FORMALS,5
AT1308,MELON,12,MILANO FORMALS,6
AT1308,MELON,14,MILANO FORMALS,9
AT1308,MELON,18,MILANO FORMALS,6
AT1308,MELON,22,MILANO FORMALS,10
AT1319,MELON,18,MILANO FORMALS,1
AT1332,YELLOW,10,MILANO FORMALS,2
AT1332,YELLOW,12,MILANO FORMALS,2
AT1332,YELLOW,14,MILANO FORMALS,7
AT1332,YELLOW,18,MILANO FORMALS,3
AT1332,YELLOW,22,MILANO FORMALS,3
AT1338,ORANGE,8,MILANO FORMALS,5
AT1338,ORANGE,10,MILANO FORMALS,5
AT1338,ORANGE,12,MILANO FORMALS,7
AT1338,ORANGE,14,MILANO FORMALS,7
AT1339,MELON,14,MILANO FORMALS,2
AT1339,MELON,18,MILANO FORMALS,3
AT1339,MELON,22,MILANO FORMALS,5
AT1345,FUCHSIA,18,MILANO FORMALS,1
AT1377,LILAC,22,MILANO FORMALS,4
AT1378,BLACK/LILAC,22,MILANO FORMALS,1
AT1378,BLACK/SKYBLUE,18,MILANO FORMALS,2
AT1391,LILAC,8,MILANO FORMALS,9
AT1391,LILAC,10,MILANO FORMALS,9
AT1391,LILAC,12,MILANO FORMALS,6
AT1391,LILAC,14,MILANO FORMALS,5
AT1391,LILAC,18,MILANO FORMALS,3
AT1391,LILAC,22,MILANO FORMALS,5
AT1391,PINK,8,MILANO FORMALS,3
AT1391,PINK,12,MILANO FORMALS,3
AT1391,PINK,14,MILANO FORMALS,9
AT1391,PINK,18,MILANO FORMALS,2
AT1391,SKY BLUE,8,MILANO FORMALS,10
AT1391,SKY BLUE,10,MILANO FORMALS,9
AT1391,SKY BLUE,12,MILANO FORMALS,9
AT1391,SKY BLUE,14,MILANO FORMALS,7
AT1391,SKY BLUE,18,MILANO FORMALS,6
AT1391,SKY BLUE,22,MILANO FORMALS,6
AT1411,FUCHSIA,14,MILANO FORMALS,6
AT1411,FUCHSIA,18,MILANO FORMALS,2
AT1411,FUCHSIA,22,MILANO FORMALS,3
AT1411,PINK,8,MILANO FORMALS,2
AT1411,PINK,14,MILANO FORMALS,1
AT1411,SKY BLUE,14,MILANO FORMALS,1
AT1411,SKYBLUE/BLACK,8,MILANO FORMALS,1
AT1411,SKYBLUE/BLACK,10,MILANO FORMALS,1
AT1411,SKYBLUE/BLACK,14,MILANO FORMALS,5
AT1411,SKYBLUE/BLACK,18,MILANO FORMALS,1
AT1411,SKYBLUE/BLACK,22,MILANO FORMALS,3
AT1418,PINK,8,MILANO FORMALS,1
AT1493,PINK,12,MILANO FORMALS,2
AT1493,PINK,14,MILANO FORMALS,3
AT1513,BLACK,16,MILANO FORMALS,1
AT1513,BLACK/FUCHSIA,8,MILANO FORMALS,12
AT1513,BLACK/FUCHSIA,10,MILANO FORMALS,9
AT1513,BLACK/FUCHSIA,12,MILANO FORMALS,7
AT1513,BLACK/FUCHSIA,14,MILANO FORMALS,12
AT1513,BLACK/FUCHSIA,18,MILANO FORMALS,2
AT1513,BLACK/LILAC,8,MILANO FORMALS,22
AT1513,BLACK/LILAC,10,MILANO FORMALS,12
AT1513,BLACK/LILAC,12,MILANO FORMALS,29
AT1513,BLACK/LILAC,14,MILANO FORMALS,17
AT1513,BLACK/LILAC,18,MILANO FORMALS,15
AT1513,BLACK/LILAC,22,MILANO FORMALS,19
AT1513,BLACK/LIME,10,MILANO FORMALS,2
AT1513,BLACK/LIME,14,MILANO FORMALS,2
AT1527,SAGE,18,MILANO FORMALS,1
AT1598,SKY BLUE,8,MILANO FORMALS,2
AT1598,SKY BLUE,10,MILANO FORMALS,1
AT1679,ORANGE,14,MILANO FORMALS,1
AT1875,PERRI,30,MILANO FORMALS,1
AT1911,IVORY,8,MILANO FORMALS,4
AT2284,BLACK,6,MILANO FORMALS,1
AT2284,BLACK,9,MILANO FORMALS,1
AT2961,WHITE,10,MILANO FORMALS,1
AT8805,SKY BLUE,10,MILANO FORMALS,1
ATD 7993/258,PURPLE,10,MILANO FORMALS,2
ATD7992/816,BLACK/GREY,18,MILANO FORMALS,1
ATD7992/816,GREY,10,MILANO FORMALS,1
ATD7992/816,GREY,14,MILANO FORMALS,1
ATD7992/89,COFFEE,10,MILANO FORMALS,1
ATD7992/89,GOLD,14,MILANO FORMALS,1
ATD7993/027,WINE,14,MILANO FORMALS,1
ATD7993/258,PURPLE,8,MILANO FORMALS,16
ATD7993/258,PURPLE,10,MILANO FORMALS,4
ATD7993/258,PURPLE,12,MILANO FORMALS,5
ATD7993/2587,BLACK,18,MILANO FORMALS,1
ATD7993/33,BLACK,8,MILANO FORMALS,17
ATD7993/33,BLACK,10,MILANO FORMALS,15
ATD7993/33,BLACK,12,MILANO FORMALS,9
ATD7993/33,BLACK,14,MILANO FORMALS,5
ATD7993/497,OFF WHITE,8,MILANO FORMALS,7
ATD7993/497,OFF WHITE,10,MILANO FORMALS,8
ATD7993/497,OFF WHITE,12,MILANO FORMALS,7
ATD7993/655,OLIVE GREEN,8,MILANO FORMALS,16
ATD7993/655,OLIVE GREEN,10,MILANO FORMALS,9
ATD7993/655,OLIVE GREEN,12,MILANO FORMALS,11
ATD7993/655,OLIVE GREEN,14,MILANO FORMALS,3
ATD7993/75,BLACK,8,MILANO FORMALS,15
ATD7993/75,BLACK,10,MILANO FORMALS,16
ATD7993/75,BLACK,12,MILANO FORMALS,2
ATD7993/75,BLACK,14,MILANO FORMALS,2
ATD7993/799,BLACK,8,MILANO FORMALS,1
ATD7993/799,BLACK,10,MILANO FORMALS,1
ATD7993/816,MIDNIGHT BLUE,12,MILANO FORMALS,4
ATD7993/816,MIDNIGHT BLUE,14,MILANO FORMALS,7
ATD7993/89,BEIGE,8,MILANO FORMALS,7
ATD7998255,BROWN,12,MILANO FORMALS,1
B429,APPLE RED,34,MILANO FORMALS,19
B429,APPLE RED,38,MILANO FORMALS,17
B429,APPLE RED,40,MILANO FORMALS,7
B429,BANANA,12,MILANO FORMALS,1
B429,BANANA,14,MILANO FORMALS,1
B429,BANANA,20,MILANO FORMALS,1
B429,BANANA,22,MILANO FORMALS,2
B429,BANANA,26,MILANO FORMALS,2
B429,BANANA,30,MILANO FORMALS,10
B429,BANANA,34,MILANO FORMALS,72
B429,BANANA,38,MILANO FORMALS,37
B429,BANANA,40,MILANO FORMALS,30
B429,BANANA YELLOW,22,MILANO FORMALS,6
B429,BANANA YELLOW,26,MILANO FORMALS,16
B429,BANANA YELLOW,30,MILANO FORMALS,52
B429,BANANA YELLOW,38,MILANO FORMALS,1
B429,BANANA YELLOW,40,MILANO FORMALS,4
B429,BLACK,2,MILANO FORMALS,1
B429,BLACK,8,MILANO FORMALS,1
B429,BLACK,38,MILANO FORMALS,7
B429,BLACK,40,MILANO FORMALS,3
