STYLE NO.,COLOR,BOXES NEEDED
AA9270,BURGUNDY,[172]
B2602,BLACK,[172]
BZ570,BLACK,[173]
E1387,PINK,"[336, 621, 173]"
E2786,PURPLE,"[386, 175]"
E2324,PINK,"[176, 388, 263]"
E1260,SKY BLUE,"[792, 177, 700, 286]"
570,DARK GREEN,[178]
570,MINT,[180]
570,PINK,"[297, 181]"
E1354,LILAC,[182]
E1356,TRUFFLE,"[244, 182]"
E2227,FUCHSIA,"[248, 225]"
E1422,PURPLE,"[355, 245, 239]"
E1424,TEAL,[183]
E2764,ROYAL,[184]
E2046,ROSE,[213]
E2034,BERRY,"[396, 213, 215]"
E1201,WINE,[185]
E1354,LAVENDER,[185]
E1439,TEAL,[308]
E2771,TEAL,"[186, 771]"
E2244,BLACK,[370]
E2225,BLACK GREEN,[190]
AA9254,,[]
AA9301,,[]
570,SAGE,"[193, 628]"
E1420,CHAMPAGNE,[194]
AA9254,WHITE,"[195, 829]"
E1285,IVORY PRINT,[197]
E2553,,[]
,BURNT ORANGE,[]
E2118,FUCHSIA,"[200, 201, 803]"
AA9259,,[]
E1022,PURPLE,"[259, 329, 203, 337, 252]"
E2106,BABY BLUE,[259]
E2511,NAVY,[204]
E2708,BLACK,"[221, 386, 205, 262]"
E2403,SILVER,"[211, 205]"
E2428,NAVY,[206]
E1391,ROYAL BLUE,[206]
E1013,SANGRIA,"[746, 676, 207]"
E1259,SKY BLUE,"[691, 683, 575, 207]"
E2233,GOLD,[208]
E2574,BLACK,[222]
E1546,BLACK,"[211, 220, 270]"
E2333,NAVY,[315]
AA219,WHITE,"[251, 214, 707]"
E2772,ROYAL,[213]
E2781,ROYAL,"[213, 510]"
AA9270,WHITE BURGUNDY,[214]
E2755,PEACH,"[218, 291]"
570,LAVENDER,"[219, 287]"
E1829,BLACK,[219]
E2553,RED,"[395, 310]"
E2360,PURPLE PRINT,[219]
E2509,RED,[387]
E2317,NAVY,"[793, 266, 220]"
E2614,NAVY,[222]
E2081,NAVY,[343]
E1868,CHAMPAGNE,[223]
E1911,NAVY,[223]
G570,PERIWINKLE,[226]
E2291,BLACK/GOLD,[226]
BD2007/183,GREY,"[265, 226]"
E2613,MAUVE,"[368, 226, 842]"
E1852,CHARCOAL,"[260, 294]"
E2520,AQUA,[227]
E2389,PURPLE,[228]
E2030,FUCHSIA,"[228, 381]"
E2547,ROYAL,[351]
E1439,ESMERALD,"[308, 228]"
E1439,EMERALD,[229]
E2599,RED,"[379, 350]"
E1391,ROYAL,[230]
E1436,VICTORIA,[371]
E2449,IVORY,"[232, 250]"
E2754,NAVY,[232]
E2547,ROYAL BLUE,[232]
E2107,LAVENDER,[256]
E2426,NAVY,"[296, 349]"
E2061,BLACK,[298]
E2067,BLACK/BURGUNDY,[236]
E2366,BLACK/GOLD,"[363, 237, 529, 372, 374, 601]"
E2035,BLACK/GUNMETAL,[237]
E2423,WHITE/BLUE,[237]
E2781,RED,[249]
E2448,APRICOT,[237]
E2225,BLACK/GREEN,[275]
E2436,BLACK/PRINT,[238]
E2142,PURPLE,[239]
AA9332,OFF WHITE,[241]
BD2007/09,,[]
E2269,NUDE,[245]
E2259,WINE,[245]
E1369,PURPLE,[245]
E2329,BLACK,[425]
E2589,BLACK,"[254, 247]"
E1546,CORAL,"[248, 366]"
E2463,BLACK/PRINT,[250]
E2708,BLACK/PRINT,[250]
E2430,WHITE,[250]
E1538,SAGE,[842]
B8998,CORAL,"[474, 565]"
E2549,GREEN,[251]
E1022,SUNSHINE,[252]
E1809,ORANGE,"[329, 307, 318]"
E2395,RED,"[288, 344, 252]"
E1822,PEACH,"[757, 255]"
E2085,CHARCOAL,[260]
E2775,ROYAL,"[260, 271, 375]"
E2753,TURQUOISE,"[552, 529, 260]"
E2430,WHITE/BLACK,[260]
E1799,LILAC,"[261, 712, 426, 440, 569]"
E2787,NAVY,"[276, 262]"
E2443,GREEN,[262]
