STYLE NO.,COLOR,BOX NUMBER,SIZE_US
E1696,BLACK,77,4.0
AA9315,WHITE,78,8.0
AA9322,WHITE,78,8.0
AA9332,WHITE,78,8.0
AA9320,WHITE,79,12.0
AA9326,WHITE,79,8.0
AA9327,WHITE,79,8.0
A9254,WHITE,80,10.0
A9312,WHITE,80,6.0
A9301,WHITE,80,4.0
E1421,CORAL,81,8.0
BZ570,CORAL,82,14.0
E1421,CORAL,82,10.0
E1421,CORAL,82,6.0
E1421,CORAL,82,4.0
E2524,CHERRY,83,8.0
E2524,CHERRY,83,4.0
E2524,CHERRY,84,10.0
E2524,CHERRY,84,6.0
E2540,TEAL,84,6.0
E2540,TEAL,85,14.0
E2540,TEAL,85,8.0
E2540,TEAL,85,6.0
E2509,BURGUNDY,86,6.0
E2535,BURGUNDY,86,6.0
E2535,BURGUNDY,86,4.0
E2509,BURGUNDY,87,4.0
AA9312,BURGUNDY,89,6.0
AA932,BURGUNDY,89,4.0
E2540,TEAL,90,4.0
AA9304,WHITE,91,4.0
AA9308,WHITE,92,14.0
AA9308,WHITE,92,6.0
E1672,BLUE,93,12.0
E1672,BLUE,93,8.0
E1672,BLUE,93,4.0
E2229,IVORY,94,14.0
E2241,IVORY,94,14.0
E2241,IVORY,94,12.0
E2241,IVORY,94,4.0
E2171,LIGHT BLUE,97,6.0
BD2006/10,BEIGE,98,8.0
BD2006/24,BLACK,98,8.0
BD2006/24,BLACK,98,14.0
BD2006/183,MIDNIGHT BLUE,98,14.0
BD2006/24,BLACK,98,12.0
BD2006/183,MIDNIGHT BLUE,98,12.0
BD2006/24,BLACK,98,10.0
E1729,MINT,99,8.0
E1729,IVORY,99,4.0
E1729,MINT,99,4.0
E1729,IVORY,100,4.0
E2114,ROYAL BLUE,101,8.0
E2114,ROYAL BLUE,101,6.0
E2114,ROYAL BLUE,101,4.0
E1581,RED,102,14.0
E1581,RED,102,12.0
E1581,RED,102,8.0
E1573,BLACK,102,6.0
E1573,BLACK,102,4.0
E22279,BURGUNDY,103,14.0
AA9257,WHITE,103,12.0
E1573,PURPLE,103,6.0
B8808,IVORY,104,8.0
B7038,WHITE,104,10.0
AA9315,WHITE,104,12.0
AA226,WHITE,104,4.0
AA9336,WHITE,104,4.0
B8808,WHITE,104,4.0
E1729,MINT,105,8.0
E1729,MINT,105,6.0
E1729,MINT,105,4.0
E1730,BLUE,106,8.0
E1334,FUCHSIA,106,6.0
E1344,YELLOW,106,6.0
E1730,BLUE,106,4.0
E1573,BLACK,107,12.0
E1573,BLACK,107,10.0
E1573,BLACK,107,8.0
E1573,BLACK,107,6.0
B8486,BLACK/FUCHSIA,108,12.0
B8486,BLACK/FUCHSIA,108,10.0
E1348,PLATINUM,108,12.0
E1896,POOL/WHITE,109,14.0
E1896,POOL/WHITE,109,12.0
E1896,POOL/WHITE,109,10.0
E1896,POOL/WHITE,109,6.0
E1347,BLUE,110,8.0
E2526,GREEN,110,12.0
E1893,BLACK,110,8.0
E2543,BLACK,110,8.0
E2526,GREEN,110,8.0
E2543,BLACK,110,6.0
E2526,GREEN,110,6.0
E2526,GREEN,110,4.0
B8808,IVORY,111,8.0
E1470,PEACH,111,8.0
E2114,ROYAL,111,8.0
B2279,BURGUNDY,112,10.0
B2279,BURGUNDY,112,6.0
E1852,BURGUNDY,113,4.0
E1582,FUCHSIA,113,4.0
E2087,ROSE/QUARTZ,113,4.0
E1347,BLUE,114,6.0
E2511,BLUE,114,6.0
AA9321,IVORY,114,6.0
E2059,ROYAL,114,6.0
E2531,ROYAL,114,6.0
E1672,SKY BLUE,114,6.0
E1032,BLACK,114,5.0
E2158,GOLD,115,6.0
E1663,NAVY,115,6.0
E1463,CORAL,115,4.0
E2158,GOLD,115,4.0
E1573,PEACH,115,4.0
E2106,SKY BLUE,116,14.0
E1908,SKY BLUE,116,4.0
E1463,TEAL,117,14.0
E1463,TEAL,117,10.0
E1463,TEAL,117,8.0
E1463,TEAL,117,4.0
E2080,BLACK,118,4.0
E2241,BLACK,118,4.0
E1827,,118,4.0
AA9315,IVORY,119,12.0
AA9315,IVORY,119,4.0
E2233,WHITE,120,6.0
E1520,BURNT ORANGE,120,4.0
E1796,BISCOTTI,121,8.0
E1531,CORAL,121,6.0
E1796,BISCOTTI,121,4.0
E1531,CORAL,121,4.0
570,ROYAL BLUE,122,14.0
E2511,BLUE,122,8.0
E2257,WINE,122,8.0
E1386,PLUM,122,6.0
E2053,NAVY,123,4.0
E1334,FUCHSIA,124,10.0
B1452,PURPLE,124,6.0
E1663,PURPLE,125,10.0
E1663,PURPLE,125,8.0
E1663,PURPLE,125,6.0
E1663,PURPLE,125,4.0
E2255,FUCHSIA,127,10.0
E2560,NAVY,127,10.0
E2543,BLACK,127,8.0
E2255,FUCHSIA,127,8.0
E2543,BLACK,127,6.0
E2560,NAVY,127,6.0
E1696,TEAL,127,4.0
570,PEACH,128,8.0
570,PEACH,128,10.0
AA9307,IVORY,129,8.0
AA9315,IVORY,129,8.0
BD2006/200,,130,8.0
BD2007/182,,130,8.0
BD2007/182,,130,14.0
BD2006/200,,130,12.0
BD2007/182,,130,12.0
BD2006/200,,130,10.0
BD2007/182,,130,10.0
E1729,IVORY,131,8.0
E1502,IVORY,131,6.0
E1729,IVORY,131,6.0
E2602,BLACK,132,10.0
E1893,BLACK,132,8.0
E2527,BLACK,132,8.0
E2526,GREEN,132,8.0
E2606,MINT,132,8.0
E2550,RED,132,8.0
B8998,RED,133,12.0
B8998,RED,133,10.0
B8998,RED,133,8.0
B8998,RED,133,6.0
B8998,RED,133,4.0
B8998,CLARET,134,8.0
B8998,CLARET,134,10.0
B8998,CLARET,134,10.0
B8998,CLARET,134,8.0
B8998,CLARET,134,6.0
B8998,CLARET,134,4.0
E5105,BLACK,135,4.0
E1795,BISCOTTI,135,6.0
E2549,BLACK/GREEN,135,6.0
E1391,PURPLE,135,4.0
E2531,ROYAL,135,4.0
E1264,CORAL,136,8.0
E1264,CORAL,136,4.0
AA221,WHITE,137,10.0
AA221,WHITE,137,8.0
E1579,WHITE,137,6.0
E1502,CLARET,137,4.0
E1729,IVORY,137,4.0
