BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,SIZE_US,QUANTITY,BOX LOCATION,CATEGORIES,SKU,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,Florida_count,Handle
12,E2560,MILANO FORMALS,NAVY,6,6,1,3033,#N/A,E2560_NAVY_6,,,,,,,NV7439
12,BD2006/413,MILANO FORMALS,,L,12,1,3033,#N/A,BD2006/413_12,,,,,,,ATD7993/586
12,BD2007/101,MILANO FORMALS,,L,12,1,3033,#N/A,BD2007/101_12,,,,,,,ATD7992/898
12,E2560,MILANO FORMALS,NAVY,10,10,2,3033,#N/A,E2560_NAVY_10,,,,,,,NV7439
12,BD2007/417,MILANO FORMALS,,M,10,2,3033,#N/A,BD2007/417_10,,,,,,,ATD7992/582
12,BD2006/413,MILANO FORMALS,,M,10,3,3033,#N/A,BD2006/413_10,,,,,,,ATD7993/586
12,BD2007/417,MILANO FORMALS,,L,12,3,3033,#N/A,BD2007/417_12,,,,,,,ATD7992/582
12,BD2007/417,MILANO FORMALS,,XL,14,3,3033,#N/A,BD2007/417_14,,,,,,,ATD7992/582
12,BD2007/417,MILANO FORMALS,,2XL,18,3,3033,#N/A,BD2007/417_18,,,,,,,ATD7992/582
12,BD2007/101,MILANO FORMALS,,XL,14,4,3033,#N/A,BD2007/101_14,,,,,,,ATD7992/898
12,BD2006/413,MILANO FORMALS,,S,8,14,3033,#N/A,BD2006/413_8,,,,,,,ATD7993/586
13,F570,MILANO FORMALS,PINK,3XL,22,1,3033,#N/A,F570_PINK_22,,,,,,,B429
13,F570,MILANO FORMALS,PINK,4XL,26,1,3033,#N/A,F570_PINK_26,,,,,,,B429
13,F570,MILANO FORMALS,PINK,4XL,26,1,3033,#N/A,F570_PINK_26,,,,,,,B429
13,F1116,MILANO FORMALS,CORAL,8XL,40,1,3033,#N/A,F1116_CORAL_40,,,,,,,B8883
13,E2255,MILANO FORMALS,FUCHSIA,16,16,2,3033,Embellished,E2255_FUCHSIA_16,,,,,,,NV7744
