Code,Sum of QUANTITY,Consumer Price,PlusSize Price,WholeSale Price,Wholesale Plus Price,Description
E2046,23,299,329,,,�This long dress showcases an off the shoulder with ruched bodice. The full length A-line skirt has slant pockets for that trendy style.
E1510,23,299,329,,,"Elegant and alluring, this sophisticated cocktail dress by Milano Formals E1510 is ready to shine at any event. You will be fascinated with the shining vivid jeweled embellishments that are stitched all over the dress, including down its long, sheer single sleeve. The curved asymmetric neckline and simple short skirt come together to framed this unforgettable look.�"
E1838,22,225,255,,,Look sophisticated and classy with this bridesmaid dress by Milano Formals E1838. Features a lace embellished illusion bodice over a straight neckline with a band at the waist. The smooth skirt fits through the thighs before flaring vivaciously toward the floor. This Milano Formals creation is simply flawless for your next formal party!�
E2574,22,,,,,
E2075,22,249,279,,,"Render your girlfriends speechless with this elaborately designed Milano Formals E2075 two-piece cocktail dress. Speak volumes of sassiness with this ensembles high halter neckline, sexy crop top cut and flowy Mikado flare skirt. Its chevron patterned bodice is meticulously encrusted with dazzling beads that reflects the light at every turn. The iridescent beadwork is also mirrored on both neck and waistband details"
BD2007/182,22,,,,,
E2403,22,,,,,
E1064,22,,,,,
88468,21,,,,,
AA9316,21,,,,,
E2243,21,159,189,,,"Make a statement with this Milano Formals E2243. Show up to homecoming in style with this eye-catching A-line silhouette. Flaunt in this deep V-neckline with a matching deep V-back. Leave people in awe with this alluring floral print dress suitable for any occasion really. Finished off with a subtle black belt to pull the whole look together. Go with fun, gorgeous, and youthful dress by Milano Formals."
E2060,21,349,379,,,Make your presence known with this elegant bedazzled Milano Formals E2060 piece. This alluring gown features a halter top neckline speckled with meticulously woven geometric beads on a skin-tone bodice. Midriff cutouts are immaculately displayed on the gown to add a flirty feel to the overall look. The beaded waistband wraps around the its silhouette as it flawlessly transitions into the sexy open back. Cease from sharing the spotlight with this Milano Formals beaded gown.
E2101,21,199,229,,,"Unleash the vixen in you with this flattering jersey evening dress by Milano Formals 2101. Sexy yet classy, this piece has a halter neckline and racer open back for that much-needed oomph. The bodice has a stunning midriff cutout that slowly transitions to its ribbon banded waist. The fitted skirt flows down flawlessly to a sweep of train"
E2080,21,225,255,,,Appear tailored to perfection with this Milano Formal E2080 go-to black dress with a twist. This gown flaunts a modest scoop neckline and closed back. Its sexy twist is showcased by the bejeweled straps exposed by its sexy midriff cutouts and its form-hugging silhouette
E2291,21,225,255,,,Stay fun and flirty in this fabulous cocktail dress by Milano Formals E2291. This fascinating dress features an A-line silhouette skirt with a scoop neckline which is paired with thick straps leading into a back zipper closure. An excellent gold shimmer is scattered throughout this black jacquard dress having you shimmer all night long. This ensemble by Milano Formals is absolutely a charming piece for a party night out.�
E1452,20,149,179,,,
E2600,20,,,,,
E1259,20,299,329,,,"Draw out the princess in you with this prom dress by Milano Formals E1259. Features a strapless neckline with ruched bodice, ornate with floral lace and rhinestones appliques throughout the skirt. A ruched silky fabric wraps the waist where the skirt begins to flare."
E2501,20,,,,,
E2087,20,120,150,,,Show off your feminine side with this long dress by Milano Formals E2087. Showcases a sleeveless lace sequined illusion bodice over a sweetheart liner that is framed by a chic belt with a rosette on the side. The suave skirt finishes with a full length hem.
E2524,20,,,,,
E2042,20,199,219,,,"Walk in glamour and let all heads turn on you in this creation by Milano Formals E2042. The dress showcases a sleeveless scoop neckline with lace ornate that that splays to the front, sides and at the open back centered closure. The fitted bodice features princess seams that flows to the skirt that tapers the thighs and gently flares in floor length hem."
E1896,20,,,,,
E1356,20,179,209,,,
E2543,20,,,,,
E2437,20,179,209,,,"two-piece evening gown by Milano Formals E2437. The crop top boasts a gorgeous off-shoulder neckline with a unique pattern and stunning open back. Slim fitting and sleek, the matching floral print skirt will hug your figure to the low hip and drapes to the decadent full-length mermaid silhouette hem with pizzazz and pop."
E2544,20,225,255,,,Fully embellished V-neck bodice
E1344,20,99,129,,,"Strapless, short yellow dress with bow accent"
E2158,20,395,425,,,. This dress features a sleeveless jewel neckline richly ornate with lace appliques all throughout the dress and is framed in a chic belt. The A-line skirt graciously drapes in floor length with a floral laced embellished long cape
E2160,19,199,229,,,Promote attention-grabbing style in this stunning long dress by Milano Formals E2160. Showcases a sleeveless deep v-neckline with sheer fabric and and small swoop open back. The skirt has contrasting floral prints and gives an A-line silhouette.
E1322,19,175,225,,,
E2061,19,189,219,,,Transition your way from being a wallflower into a budding style diva with this gorgeous Milano Formals E2061 ensemble. This chic masterpiece is a two-piece outfit that features a sassy crop top paired with a gloriously pleated flare skirt. This lovely duo displays your stunning assets with its bead-speckled lace illusion neckline and sexy open back.
E1809,19,,,,,
E2781,19,,,,,
B8921,19,,,,,
E2513,19,,,,,
E2771,18,,,,,
E2366,18,149,179,,,This sophisticated style features a scoop neckline and glitter net a line skirt. An alluring cutout adorns the bodice adding a captivating touch. A thin beaded belt clenches the waist for support while the skirt flares out for a dramatic effect.
E2774,18,,,,,
E1875,18,179,209,,,
AA9313,18,,,,,
E1422,18,189,219,,,A one shoulder cocktail length dress with a tiered flower design bottom comes with contrasting black waistband to complete the look. C
BD2006/413,18,,,,,
E1354,17,189,219,,,Stunning Prom Dress features combination of detailed beadings on the side bust and pleated satin bodice going down
E1386,17,149,179,,,"Elegantly styled cocktail length dress done with layers of pleaded at the bottom and a sash under the bodice Color : Lilac, Plum, Pool�"
B8667,17,,,,,
E2059,17,199,239,,,"Defy the conventional styles with this figure accentuating Milano Formal E20589 dress. Frame your best shapely features with its bateau cut neckline and flirty A-line skirt. This beauty does not just spice up your outfit of the day with its sexy cut out waist and open racer back details, it exudes a lady-like feel with the floral embroidery adorning its bodice."
AA9271,17,,,,,
AA9319,17,,,,,
E1954,16,,,,,
E2210,16,249,275,,,"Make a stylishly inspired statement at your dinner party of special event in this ultra-chic Milano Formals E2210 creation. Embellished with an array of metallic sheened beads along a sheer paneled bodice, this elegant piece showcases a sleeveless illusion bateau over a sweetheart neckline line with trimmed ornaments from the front to its gossamer full back. Glistening with a patterned band of jewels, the textured sheath skirt adheres along your luscious contours as it ends at a short hemline.�"
E1022,16,249,279,,,
E1827,16,149,179,,,Elegant black dress for any occasion
E2527,16,,,,,
E2755,16,,,,,
E2018,16,269,299,,,"Display yourself at its finest in this immaculate evening gown by Milano Formals 2018 evening gown. Made by the finest Mikado fabric, this strapless stunner has an origami pleated fan neckline and diamond-shaped cluster of beadwork on its bodice. The beadwork traverses to the pleated open back. Fitting its bodice like a glove, the skirt cascades down to a dramatic train fit for royalty. Exude charm and flair with this stunning piece from Milano Formals."
