STYLE NO.,COLOR,SIZE,BRAND NAME,QUANTITY
B8865,CLARET,6,,6.0
B8865,CLARET,7XL,,8.0
B8865,CLARET,8,,2.0
B8865,CLARET,M,,1.0
B8865,CLARET,S,,1.0
B8865,IVORY,8XL,,1.0
B8865,IVORY,M,,8.0
B8865,IVORY,S,,5.0
B8865,POOL,22,,1.0
B8865,PURPLE,20,,1.0
B8865,PURPLE,30,,1.0
B8865,PURPLE,34,,3.0
B8865,PURPLE,4,,1.0
B8865,PURPLE,6XL,,2.0
B8865,PURPLE,8XL,,6.0
B8865,PURPLE,M,,1.0
B8865,PURPLE,S,,14.0
B8865,ROYAL,L,,1.0
B8865,SAGE,7XL,,3.0
B8865,SAGE,8XL,,5.0
B8865,SANGRIA,2,,1.0
B8865,SANGRIA,5XL,,1.0
B8865,SANGRIA,6XL,,6.0
B8865,SANGRIA,7XL,,7.0
B8865,SANGRIA,8XL,,6.0
B8865,SANGRIA,S,,2.0
B8865,SILVER,S,,1.0
B8865,SKY BLUE,7XL,,4.0
B8865,SKY BLUE,8XL,,4.0
B8865,TRUFFLE,10,,2.0
B8865,TRUFFLE,12,,6.0
B8865,TRUFFLE,14,,1.0
B8865,TRUFFLE,20,,1.0
B8865,TRUFFLE,22,,1.0
B8865,TRUFFLE,24,,3.0
B8865,TRUFFLE,26,,2.0
B8865,TRUFFLE,28,,1.0
B8865,TRUFFLE,30,,1.0
B8865,TRUFFLE,34,,2.0
B8865,TRUFFLE,4,,7.0
B8865,TRUFFLE,6,,5.0
B8865,TRUFFLE,8,,16.0
B8865,TRUFFLE,L,,6.0
B8865,TRUFFLE,S,,13.0
B8865,WHITE,10,,2.0
B8865,WHITE,12,,7.0
B8865,WHITE,16,,3.0
B8865,WHITE,2,,1.0
B8865,WHITE,20,,1.0
B8865,WHITE,24,,3.0
B8865,WHITE,28,,2.0
B8865,WHITE,32,,3.0
B8865,WHITE,34,,2.0
B8865,WHITE,36,,1.0
B8865,WHITE,4,,4.0
B8865,WHITE,40,MILANO FORMALS,2.0
B8865,WHITE,6,,2.0
B8865,WHITE,8,,7.0
B8998,APPLE RED,10,,2.0
B8998,APPLE RED,24,,1.0
B8998,APPLE RED,4,,1.0
