Handle,Title,Body (HTML),Description,Vendor,Type,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Image Src,Variant SKU,Variant Inventory Qty,Variant Price,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Image Src,Variant Inventory Tracker,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,6,Color,CLARET,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,B8865_CLARET_6,4.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify,B8865_CLARET_6,,US,599.0,0,0,0,4.0,4.0
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,6,Color,CLARET,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,B8865_CLARET_6,2.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify,B8865_CLARET_6,,US,663.0,0,0,0,2.0,2.0
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,7XL,Color,CLARET,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,B8865_CLARET_7XL,7.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify,B8865_CLARET_7XL,,US,645.0,0,0,0,7.0,7.0
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,7XL,Color,CLARET,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,B8865_CLARET_7XL,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify,B8865_CLARET_7XL,,US,663.0,0,0,0,1.0,1.0
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,8,Color,CLARET,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,B8865_CLARET_8,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify,B8865_CLARET_8,,US,599.0,0,0,0,1.0,1.0
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,8,Color,CLARET,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,B8865_CLARET_8,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify,B8865_CLARET_8,,US,661.0,0,0,0,1.0,1.0
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,M,Color,CLARET,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,B8865_CLARET_M,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify,B8865_CLARET_M,,US,661.0,0,0,0,1.0,1.0
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,S,Color,CLARET,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,B8865_CLARET_S,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify,B8865_CLARET_S,,US,661.0,0,0,0,1.0,1.0
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,8XL,Color,IVORY,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,B8865_IVORY_8XL,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify,B8865_IVORY_8XL,,US,420.0,0,0,0,1.0,1.0
b8865,B8865 Milano Formals Bridesmaids,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,This Bridesmaid dress has a Zipper closure. The main fabric is Satin,Milano Formals,Dress,Size,M,Color,IVORY,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,B8865_IVORY_M,1.0,$200,deny,TRUE,TRUE,https://www.estylecdn.com/manufcols/milanoformals/current/zoom/B8865___Claret__5__1.jpg,shopify,B8865_IVORY_M,,US,420.0,0,0,0,1.0,1.0
