Code,Color,Size,Brand,Quantity,Category,Price,Urls
AA9270,BURGUNDY,6,ANDY ANAND COUTURE,2,,248.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_2.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_3.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_4.png?v=1727407791,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_1.png?v=1727407784"
AA9270,IVORY,12,ANDY ANAND COUTURE,1,,248.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_2.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_3.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_4.png?v=1727407791,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_1.png?v=1727407784"
AA9270,LAVENDER,6,ANDY ANAND COUTURE,1,,248.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_2.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_3.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_4.png?v=1727407791,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_1.png?v=1727407784"
AA9270,LAVENDER,8,ANDY ANAND COUTURE,1,,248.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_2.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_3.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_4.png?v=1727407791,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_1.png?v=1727407784"
AA9270,LAVENDER,12,ANDY ANAND COUTURE,5,,248.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_2.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_3.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_4.png?v=1727407791,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_1.png?v=1727407784"
AA9270,LAVENDER,14,ANDY ANAND COUTURE,1,,248.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_2.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_3.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_4.png?v=1727407791,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_1.png?v=1727407784"
AA9270,WHITE,2,ANDY ANAND COUTURE,1,,248.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_2.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_3.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_4.png?v=1727407791,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_1.png?v=1727407784"
AA9270,WHITE,6,ANDY ANAND COUTURE,2,,248.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_2.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_3.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_4.png?v=1727407791,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_1.png?v=1727407784"
AA9270,WHITE,12,ANDY ANAND COUTURE,1,,248.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_2.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_3.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_4.png?v=1727407791,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_1.png?v=1727407784"
AA9270,WHITE,18,ANDY ANAND COUTURE,1,,248.0,"https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_2.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_3.png?v=1727407801,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_4.png?v=1727407791,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9270_White-Ivory_1.png?v=1727407784"
