Code,Color,Size,Brand,Quantity,Category,Description,Price,Collection
B8865,SANGRIA,38,MILANO FORMALS,7,Elegant Evening,,199.0,
B8865,SANGRIA,40,MILANO FORMALS,6,Elegant Evening,,199.0,
B8865,SILVER,8,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,SKY BLUE,38,MILANO FORMALS,4,Elegant Evening,,199.0,
B8865,SKY BLUE,40,MILANO FORMALS,4,Elegant Evening,,199.0,
B8865,TRUFFLE,4,MILANO FORMALS,7,Elegant Evening,,199.0,
B8865,TRUFFLE,6,MILANO FORMALS,5,Elegant Evening,,199.0,
B8865,TRUFFLE,8,MILANO FORMALS,29,Elegant Evening,,199.0,
B8865,TRUFFLE,10,MILANO FORMALS,2,Elegant Evening,,199.0,
B8865,TRUFFLE,12,MILANO FORMALS,12,Elegant Evening,,199.0,
B8865,TRUFFLE,14,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,TRUFFLE,20,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,TRUFFLE,22,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,TRUFFLE,24,MILANO FORMALS,3,Elegant Evening,,199.0,
B8865,TRUFFLE,26,MILANO FORMALS,2,Elegant Evening,,199.0,
B8865,TRUFFLE,28,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,TRUFFLE,30,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,TRUFFLE,34,MILANO FORMALS,2,Elegant Evening,,199.0,
B8865,WHITE,2,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,WHITE,4,MILANO FORMALS,4,Elegant Evening,,199.0,
B8865,WHITE,6,MILANO FORMALS,2,Elegant Evening,,199.0,
B8865,WHITE,8,MILANO FORMALS,7,Elegant Evening,,199.0,
B8865,WHITE,10,MILANO FORMALS,2,Elegant Evening,,199.0,
B8865,WHITE,12,MILANO FORMALS,7,Elegant Evening,,199.0,
B8865,WHITE,16,MILANO FORMALS,3,Elegant Evening,,199.0,
B8865,WHITE,20,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,WHITE,24,MILANO FORMALS,3,Elegant Evening,,199.0,
B8865,WHITE,28,MILANO FORMALS,2,Elegant Evening,,199.0,
B8865,WHITE,32,MILANO FORMALS,3,Elegant Evening,,199.0,
B8865,WHITE,34,MILANO FORMALS,2,Elegant Evening,,199.0,
B8865,WHITE,36,MILANO FORMALS,1,Elegant Evening,,199.0,
B8865,WHITE,40,MILANO FORMALS,2,Elegant Evening,,199.0,
B8921,LIGHT GREEN,8,MILANO FORMALS,2,,,190.0,
B8921,LIGHT GREEN,18,MILANO FORMALS,3,,,190.0,
B8921,LIGHT GREEN,22,MILANO FORMALS,3,,,190.0,
B8921,TRUFFLE,8,MILANO FORMALS,2,,,190.0,
B8921,VIOLET,8,MILANO FORMALS,8,,,190.0,
B8921,VIOLET,10,MILANO FORMALS,1,,,190.0,
B8967,GREEN,14,MILANO FORMALS,2,,,549.0,
B8998,APPLE RED,4,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,APPLE RED,10,MILANO FORMALS,2,Elegant Evening,,199.0,
B8998,APPLE RED,12,MILANO FORMALS,2,Elegant Evening,,199.0,
B8998,APPLE RED,14,MILANO FORMALS,3,Elegant Evening,,199.0,
B8998,APPLE RED,24,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,CHAMPAGNE,18,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,CLARET,4,MILANO FORMALS,9,Elegant Evening,,199.0,
B8998,CLARET,6,MILANO FORMALS,7,Elegant Evening,,199.0,
B8998,CLARET,8,MILANO FORMALS,4,Elegant Evening,,199.0,
B8998,CLARET,10,MILANO FORMALS,4,Elegant Evening,,199.0,
B8998,CLARET,16,MILANO FORMALS,6,Elegant Evening,,199.0,
B8998,CORAL,4,MILANO FORMALS,18,Elegant Evening,,199.0,
B8998,CORAL,6,MILANO FORMALS,5,Elegant Evening,,199.0,
B8998,CORAL,8,MILANO FORMALS,14,Elegant Evening,,199.0,
B8998,CORAL,10,MILANO FORMALS,3,Elegant Evening,,199.0,
B8998,CORAL,12,MILANO FORMALS,7,Elegant Evening,,199.0,
B8998,CORAL,14,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,CORAL,16,MILANO FORMALS,6,Elegant Evening,,199.0,
B8998,CORAL,22,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,CORAL,38,MILANO FORMALS,2,Elegant Evening,,199.0,
B8998,CORAL,40,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,LIGHT GREEN,2,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,LIGHT GREEN,8,MILANO FORMALS,8,Elegant Evening,,199.0,
B8998,POOL,4,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,POOL,8,MILANO FORMALS,4,Elegant Evening,,199.0,
B8998,POOL,10,MILANO FORMALS,5,Elegant Evening,,199.0,
B8998,POOL,12,MILANO FORMALS,3,Elegant Evening,,199.0,
B8998,POOL,14,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,RED,4,MILANO FORMALS,4,Elegant Evening,,199.0,
B8998,RED,6,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,RED,8,MILANO FORMALS,9,Elegant Evening,,199.0,
B8998,RED,10,MILANO FORMALS,6,Elegant Evening,,199.0,
B8998,RED,12,MILANO FORMALS,8,Elegant Evening,,199.0,
B8998,RED,20,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,ROYAL,4,MILANO FORMALS,2,Elegant Evening,,199.0,
B8998,ROYAL,6,MILANO FORMALS,5,Elegant Evening,,199.0,
B8998,ROYAL,8,MILANO FORMALS,2,Elegant Evening,,199.0,
B8998,ROYAL,12,MILANO FORMALS,2,Elegant Evening,,199.0,
B8998,SANGRIA,2,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,SANGRIA,4,MILANO FORMALS,4,Elegant Evening,,199.0,
B8998,SANGRIA,6,MILANO FORMALS,2,Elegant Evening,,199.0,
B8998,SANGRIA,8,MILANO FORMALS,4,Elegant Evening,,199.0,
B8998,SANGRIA,12,MILANO FORMALS,3,Elegant Evening,,199.0,
B8998,SANGRIA,14,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,SANGRIA,18,MILANO FORMALS,3,Elegant Evening,,199.0,
B8998,SANGRIA,20,MILANO FORMALS,3,Elegant Evening,,199.0,
B8998,SANGRIA,34,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,SANGRIA,38,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,TRUFFLE,8,MILANO FORMALS,9,Elegant Evening,,199.0,
B8998,TRUFFLE,10,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,TRUFFLE,12,MILANO FORMALS,2,Elegant Evening,,199.0,
B8998,WHITE,2,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,WHITE,4,MILANO FORMALS,15,Elegant Evening,,199.0,
B8998,WHITE,6,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,WHITE,8,MILANO FORMALS,16,Elegant Evening,,199.0,
B8998,WHITE,10,MILANO FORMALS,2,Elegant Evening,,199.0,
B8998,WHITE,12,MILANO FORMALS,2,Elegant Evening,,199.0,
B8998,WHITE,18,MILANO FORMALS,1,Elegant Evening,,199.0,
B8998,WINE,22,MILANO FORMALS,1,Elegant Evening,,199.0,
BD2006/183,MIDNIGHT BLUE,12,MILANO FORMALS,4,,,599.0,
BD2006/183,MIDNIGHT BLUE,14,MILANO FORMALS,7,,,599.0,
BD2006/24,BLACK,8,MILANO FORMALS,15,,,249.0,
BD2006/24,BLACK,10,MILANO FORMALS,16,,,249.0,
BD2006/24,BLACK,12,MILANO FORMALS,2,,,249.0,
BD2006/24,BLACK,14,MILANO FORMALS,2,,,249.0,
BD2006/344,OLIVE GREEN,8,MILANO FORMALS,16,,,299.0,
BD2006/344,OLIVE GREEN,10,MILANO FORMALS,9,,,299.0,
BD2006/344,OLIVE GREEN,12,MILANO FORMALS,11,,,299.0,
BD2006/344,OLIVE GREEN,14,MILANO FORMALS,3,,,299.0,
BD2006/502,OFF WHITE,8,MILANO FORMALS,7,,,599.0,
BD2006/502,OFF WHITE,10,MILANO FORMALS,8,,,599.0,
BD2006/502,OFF WHITE,12,MILANO FORMALS,7,,,599.0,
BD2006/741,PURPLE,8,MILANO FORMALS,16,,,299.0,
BD2006/741,PURPLE,10,MILANO FORMALS,4,,,299.0,
BD2006/741,PURPLE,12,MILANO FORMALS,5,,,299.0,
BD2006/792,WINE,14,MILANO FORMALS,1,,,225.0,
BD2007/10,BEIGE,8,MILANO FORMALS,6,,,299.0,
BD2007/10,GOLD,14,MILANO FORMALS,1,,,299.0,
BD2007/183,BLACK/GREY,18,MILANO FORMALS,1,,,299.0,
E1013,CLARET,10,MILANO FORMALS,7,Elegant Evening,,169.0,
E1013,FUCHSIA,4,MILANO FORMALS,1,Elegant Evening,,169.0,
E1013,FUCHSIA,10,MILANO FORMALS,2,Elegant Evening,,169.0,
E1013,LILAC,8,MILANO FORMALS,18,Elegant Evening,,169.0,
E1013,LILAC,12,MILANO FORMALS,2,Elegant Evening,,169.0,
E1013,LILAC,18,MILANO FORMALS,5,Elegant Evening,,169.0,
E1013,LILAC,22,MILANO FORMALS,1,Elegant Evening,,169.0,
E1013,LILAC,24,MILANO FORMALS,6,Elegant Evening,,169.0,
E1013,LILAC,30,MILANO FORMALS,2,Elegant Evening,,169.0,
E1013,PINK,4,MILANO FORMALS,1,Elegant Evening,,169.0,
E1013,SANGRIA,4,MILANO FORMALS,7,Elegant Evening,,169.0,
E1013,SANGRIA,6,MILANO FORMALS,1,Elegant Evening,,169.0,
E1013,SANGRIA,8,MILANO FORMALS,2,Elegant Evening,,169.0,
E1013,SANGRIA,10,MILANO FORMALS,2,Elegant Evening,,169.0,
E1013,SANGRIA,12,MILANO FORMALS,1,Elegant Evening,,169.0,
E1013,SANGRIA,24,MILANO FORMALS,1,Elegant Evening,,169.0,
E1013,SUNSHINE,10,MILANO FORMALS,1,Elegant Evening,,169.0,
E1013,SUNSHINE,12,MILANO FORMALS,3,Elegant Evening,,169.0,
E1013,SUNSHINE,14,MILANO FORMALS,5,Elegant Evening,,169.0,
E1013,SUNSHINE,20,MILANO FORMALS,5,Elegant Evening,,169.0,
E1013,SUNSHINE,22,MILANO FORMALS,3,Elegant Evening,,169.0,
E1013,TRUFFLE,4,MILANO FORMALS,2,Elegant Evening,,169.0,
E1013,TRUFFLE,6,MILANO FORMALS,4,Elegant Evening,,169.0,
E1013,TRUFFLE,8,MILANO FORMALS,5,Elegant Evening,,169.0,
E1013,TRUFFLE,10,MILANO FORMALS,5,Elegant Evening,,169.0,
E1013,TRUFFLE,12,MILANO FORMALS,11,Elegant Evening,,169.0,
E1013,TRUFFLE,16,MILANO FORMALS,1,Elegant Evening,,169.0,
E1013,TRUFFLE,20,MILANO FORMALS,7,Elegant Evening,,169.0,
E1013,TRUFFLE,24,MILANO FORMALS,4,Elegant Evening,,169.0,
E1022,PURPLE,6,MILANO FORMALS,2,Embellished,,199.0,
E1022,PURPLE,8,MILANO FORMALS,2,Embellished,,199.0,
E1022,PURPLE,10,MILANO FORMALS,1,Embellished,,199.0,
E1022,PURPLE,12,MILANO FORMALS,2,Embellished,,199.0,
E1022,PURPLE,14,MILANO FORMALS,1,Embellished,,199.0,
E1022,PURPLE,16,MILANO FORMALS,1,Embellished,,199.0,
E1022,PURPLE,18,MILANO FORMALS,1,Embellished,,199.0,
E1022,PURPLE,22,MILANO FORMALS,3,Embellished,,199.0,
E1022,PURPLE,26,MILANO FORMALS,1,Embellished,,199.0,
E1022,SUNRISE,12,MILANO FORMALS,1,Embellished,,199.0,
E1022,SUNSHINE,10,MILANO FORMALS,1,Embellished,,199.0,
