BOX NUMBER,Code,Brand,Color,SIZE,Size,Quantity,BOX LOCATION,CATEGORIES,SKU,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,Florida_count,MAPPED,Style_colour
400.0,E1326,MILANO FORMALS,NAVY,S,8,REM,3033.0,,E1326_NAVY_8,,,,,,,NV8673,E1326_NAVY
400.0,E1326,MILANO FORMALS,NAVY,3XL,22,REM,3033.0,,E1326_NAVY_22,,,,,,,NV8673,E1326_NAVY
400.0,E1326,MILANO FORMALS,NAVY,4,4,REM,3033.0,,E1326_NAVY_4,,,,,,,NV8673,E1326_NAVY
911.0,E1326,,NAVY,S,,1,,,,,,,,,,,
911.0,E1326,,NAVY,M,,1,,,,,,,,,,,
907.0,E1333,,TEAL,S,,2,,,,,,,,,,,
907.0,E1333,,TEAL,M,,4,,,,,,,,,,,
106.0,E1334,MILANO FORMALS,FUCHSIA,6,6,REM,3725.0,,E1334_FUCHSIA_6,,,,,,1.0,NV8665,E1334_FUCHSIA
902.0,E1385,,RED,16,,2,,,,,,,,,,,
902.0,E1385,,RED,20,,1,,,,,,,,,,,
570.0,E1387,MILANO FORMALS,GREEN,8,8,REM,3735.0,,E1387_GREEN_8,,,,,,,NV8612,E1387_GREEN
621.0,E1387,MILANO FORMALS,PINK,4,4,REM,3733.0,,E1387_PINK_4,,,,,,,NV8612,E1387_PINK
926.0,E1387,,GREEN,8,,1,,,,,,,,,,,
926.0,E1387,,PINK,8,,1,,,,,,,,,,,
926.0,E1387,,PINK,4,,1,,,,,,,,,,,
907.0,E1412,,BLACK,8,,1,,,,,,,,,,,
926.0,E1412,,BLACK,4,,1,,,,,,,,,,,
926.0,E1412,,BROWN,4,,1,,,,,,,,,,,
926.0,E1412,,ROYAL,4,,1,,,,,,,,,,,
931.0,E1412,,BLACK,8,,1,,,,,,,,,,,
931.0,E1412,,BROWN,8,,1,,,,,,,,,,,
931.0,E1412,,ROYAL,8,,1,,,,,,,,,,,
228.0,E1439,MILANO FORMALS,EMERALD,4,4,REM,3033.0,,E1439_EMERALD_4,,,,,,,NV8560,E1439_EMERALD
921.0,E1465,,PURPLE,4,,1,,,,,,,,,,,
921.0,E1465,,PURPLE,8,,1,,,,,,,,,,,
902.0,E1497,,PURPLE,6,,1,,,,,,,,,,,
903.0,E1503,,SKYBLUE,,,1,,,,,,,,,,,
911.0,E1507,,WATERMELON,12,,1,,,,,,,,,,,
911.0,E1507,,WATERMELON,18,,1,,,,,,,,,,,
613.0,E1510,MILANO FORMALS,WHITE-BLUE,2,2,REM,3735.0,Embellished,E1510_WHITE-BLUE_2,,,,,,1.0,NV8489,E1510_WHITE-BLUE
158.0,E1520,MILANO FORMALS,BURNT-ORANGE,,,8,3725.0,Short,E1520_BURNT-ORANGE,,139.0,,,,,NV8479,E1520_BURNT-ORANGE
911.0,E1531,,BLACK,6,,1,,,,,,,,,,,
911.0,E1531,,BLACK,18,,1,,,,,,,,,,,
911.0,E1531,,CORAL,4,,1,,,,,,,,,,,
911.0,E1531,,CORAL,6,,3,,,,,,,,,,,
911.0,E1531,,CORAL,12,,1,,,,,,,,,,,
911.0,E1531,,CORAL,2,,3,,,,,,,,,,,
842.0,E1538,MILANO FORMALS,SAGE,8,8,REM,3240.0,,E1538_SAGE_8,,,,,,,NV8461,E1538_SAGE
913.0,E1538,,SAGE,4,,1,,,,,,,,,,,
913.0,E1538,,SAGE,8,,1,,,,,,,,,,,
919.0,E1540,,BLUEPINK,4,,2,,,,,,,,,,,
913.0,E1546,,PINK,10,,1,,,,,,,,,,,
920.0,E1597,,POOL,10,,4,,,,,,,,,,,
920.0,E1597,,POOL,12,,1,,,,,,,,,,,
920.0,E1597,,POOL,20,,1,,,,,,,,,,,
667.0,E1605,MILANO FORMALS,PURPLE,8,8,REM,3733.0,,E1605_PURPLE_8,,,,,,,NV8394,E1605_PURPLE
926.0,E1605,,PURPLE,4,,1,,,,,,,,,,,
913.0,E1636,,BLACK,6,,1,,,,,,,,,,,
857.0,E1637,MILANO FORMALS,BLACK,4,4,REM,3240.0,Embellished,E1637_BLACK_4,,,,,,1.0,NV8362,E1637_BLACK
573.0,E1676,MILANO FORMALS,BLUE-PINK,4,4,REM,3735.0,,E1676_BLUE-PINK_4,,,,,,,NV8323,E1676_BLUE-PINK
573.0,E1676,MILANO FORMALS,BLUE-PINK,8,8,REM,3735.0,,E1676_BLUE-PINK_8,,,,,,,NV8323,E1676_BLUE-PINK
574.0,E1676,MILANO FORMALS,BLUE-PINK,16,16,REM,3735.0,,E1676_BLUE-PINK_16,,,,,,,NV8323,E1676_BLUE-PINK
928.0,E1676,,BLUE-PINK,4,,1,,,,,,,,,,,
928.0,E1676,,BLUE-PINK,8,,1,,,,,,,,,,,
928.0,E1676,,BLUE-PINK,16,,1,,,,,,,,,,,
914.0,E1683,,WHITE,4,,1,,,,,,,,,,,
910.0,E1696,,CORAL,4,,1,,,,,,,,,,,
910.0,E1696,,CORAL,6,,1,,,,,,,,,,,
913.0,E1716,,PURPLE,4,,1,,,,,,,,,,,
199.0,E1730,MILANO FORMALS,CHARCOAL,16,16,REM,3033.0,Bridesmaid,E1730_CHARCOAL_16,,,,,,,NV8269,E1730_CHARCOAL
914.0,E1745,,TURQUOISE,12,,1,,,,,,,,,,,
912.0,E1761,,RED,4,,1,,,,,,,,,,,
912.0,E1762,,PURPLE,4,,1,,,,,,,,,,,
912.0,E1762,,PURPLE,6,,1,,,,,,,,,,,
912.0,E1762,,PURPLE,8,,1,,,,,,,,,,,
914.0,E1799,,LILAC,8,,1,,,,,,,,,,,
