BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,QUANTITY,SKU,BOX LOCATION,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,13672,SIZE_US
13,570,MILANO,PINK,3XL,4,,3033,,,,,,,22
13,BZ570,MILANO,PINK,3XL,1,,3033,,,,,,,22
13,E2255,,FUCHSIA,16,2,,3033,,,,,,,16
13,E2255,,FUCHSIA,14,5,,3033,,,,,,,14
13,E2255,,FUCHSIA,12,5,,3033,,,,,,,12
13,E2255,,FUCHSIA,10,4,,3033,,,,,,,10
13,E2255,,FUCHSIA,8,3,,3033,,,,,,,8
14,E2531,,ROYAL BLUE,8,1,,3033,,229,,,,,8
14,E2531,,ROYAL BLUE,6,4,,3033,,229,,,,,6
14,E2527,,BLACK,4,3,,3033,,229,,,,,4
14,E2531,,ROYAL BLUE,4,2,,3033,,229,,,,,4
14,E2527,,BLACK,2,3,,3033,,229,,,,,2
14,E2531,,ROYAL BLUE,2,1,,3033,,229,,,,,2
15,E2253,MILANO FORMALS,RED,20,1,,3033,,,,,,,20
15,E2253,MILANO FORMALS,RED,16,1,,3033,,,,,,,16
15,E2253,MILANO FORMALS,RED,14,4,,3033,,,,,,,14
15,E2253,MILANO FORMALS,RED,12,3,,3033,,,,,,,12
15,E1745,,TURQUOISE GREEN,12,7,,3033,,,,,,,12
15,E2524,,GREEN,10,1,,3033,,219,,,,,10
15,E2253,MILANO FORMALS,RED,10,2,,3033,,,,,,,10
15,E1379,,TRUFFLE,10,1,,3033,,,,,,,10
15,E2253,MILANO FORMALS,RED,8,1,,3033,,,,,,,8
15,E2524,,GREEN,6,2,,3033,,219,,,,,6
15,E1379,,TRUFFLE,6,1,,3033,,,,,,,6
15,E2253,MILANO FORMALS,RED ,4,1,,3033,,,,,,,4
16,E1379,,TRUFFLE,10,8,,3033,,,,,,,10
16,E1379,,TRUFFLE,8,7,,3033,,,,,,,8
16,E1379,,TRUFFLE,3,1,,3033,,,,,,,3
17,B8808,,IVORY/NAVY,S,4,,3033,,,,,,,8
17,570,MILANO,PERRI,S,3,,3033,,,,,,,8
17,570,MILANO,LILAC,8XL,5,,3033,,,,,,,40
17,570,MILANO,PINK,8XL,2,,3033,,,,,,,40
17,570,MILANO,LILAC,7XL,3,,3033,,,,,,,38
17,570,MILANO,PINK,7XL,3,,3033,,,,,,,38
17,570,MILANO,LILAC,6XL,1,,3033,,,,,,,34
17,570,MILANO,PINK,6XL,5,,3033,,,,,,,34
17,570,MILANO,PINK,5XL,1,,3033,,,,,,,30
17,B8808,,IVORY/NAVY,XL,1,,3033,,,,,,,14
17,B8808,,IVORY/NAVY,L,2,,3033,,,,,,,12
17,570,MILANO,PERRI,L,2,,3033,,,,,,,12
17,B8808,,IVORY/NAVY,M,3,,3033,,,,,,,10
