BOX NUMBER,STYLE NO.,BRAND NAME,COLOR,SIZE,QUANTITY,SKU,BOX LOCATION,DESCRIPTION,PRICE,PHOTO,PLATFORM,SAMPLE,13672,,,,,,,,,,,,,,
23,E1379,,PEACOCK,10,3,,,,,,,,,,,,,,,,,,,,,,
23,570,MILANO,PERIWINKLE,M,1,,,,,,,,,,,,,,,,,,,,,,
23,E2544,,RED,4,1,,,,,,,,,,,,,,,,,,,,,,
23,E1379,,TRUFFLE,4,2,,,,,,,,,,,,,,,,,,,,,,
23,E1379,,TRUFFLE,8,2,,,,,,,,,,,,,,,,,,,,,,
24,570,MILANO,BANANA YELLOW,3XL,4,,,,,,,,,,,,,,,,,,,,,,
24,570,MILANO,BANANA YELLOW,4XL,1,,,,,,,,,,,,,,,,,,,,,,
24,570,MILANO,BANANA YELLOW,7XL,1,,,,,,,,,,,,,,,,,,,,,,
24,E2225,,BLACK / GREEN,4,1,,,,,,,,,,,,,,,,,,,,,,
24,E2225,,BLACK / GREEN,6,1,,,,,,,,,,,,,,,,,,,,,,
24,E2225,,BLACK / GREEN,8,1,,,,,,,,,,,,,,,,,,,,,,
24,E1421,,CORAL,6,2,,,,,,,,,,,,,,,,,,,,,,
24,E1531,,CORAL,6,2,,,,,,,,,,,,,,,,,,,,,,
24,570,MILANO,NAVY,7XL,1,,,,,,,,,,,,,,,,,,,,,,
24,570,MILANO,NAVY,5XL,3,,,,,,,,,,,,,,,,,,,,,,
24,BZ570,MILANO,NAVY,2XL,1,,,,,,,,,,,,,,,,,,,,,,
24,E1605,,PURPLE,2,3,,,,,,,,,,,,,,,,,,,,,,
24,E1605,,PURPLE,4,1,,,,,,,,,,,,,,,,,,,,,,
25,1116,,BANANA,6XL,2,,,,,,,,,,,,,,,,,,,,,,
25,1116,,BANANA,7XL,3,,,,,,,,,,,,,,,,,,,,,,
25,1116,,BANANA,8XL,7,,,,,,,,,,,,,,,,,,,,,,
25,1116,,BANANA (FLOWER),6XL,6,,,,,,,,,,,,,,,,,,,,,,
25,BD2006/741,,PURPLE,S,3,,,,,,,,,,,,,,,,,,,,,,
25,BD2006/741,,PURPLE,L,3,,,,,,,,,,,,,,,,,,,,,,
25,E1420,,PURPLE,4,1,,,,,,,,,,,,,,,,,,,,,,
25,E1420,,PURPLE,8,1,,,,,,,,,,,,,,,,,,,,,,
25,E1420,,PURPLE,10,1,,,,,,,,,,,,,,,,,,,,,,
25,E1420,,PURPLE,12,1,,,,,,,,,,,,,,,,,,,,,,
26,E1730,,CHARCOAL,6,4,,,,,,,,,,,,,,,,,,,,,,
26,E1730,,CHARCOAL,12,2,,,,,,,,,,,,,,,,,,,,,,
26,E1730,,CHARCOAL,8,5,,,,,,,,,,,,,,,,,,,,,,
26,E1730,,CHARCOAL,20,3,,,,,,,,,,,,,,,,,,,,,,
26,B8998,,LIGHT GREEN,S,8,,,,,,,,,,,,,,,,,,,,,,
27,570,MILANO,PEACH,6XL,7,,,,,,,,,,,,,,,,,,,,,,
27,570,MILANO,PEACH,7XL,14,,,,,,,,,,,,,,,,,,,,,,
27,570,MILANO,PEACH,8XL,10,,,,,,,,,,,,,,,,,,,,,,
27,570,MILANO,PEACH,5XL,10,,,,,,,,,,,,,,,,,,,,,,
27,570,MILANO,PEACH,M,3,,,,,,,,,,,,,,,,,,,,,,
27,570,MILANO,PEACH,S,3,,,,,,,,,,,,,,,,,,,,,,
28,G1116,MILANO FORMALS,BURGUNDY,S,7,,,,,,,,,,,,,,,,,,,,,,
28,1116,,CORAL,8XL,3,,,,,,,,,,,,,,,,,,,,,,
28,G1116,MILANO FORMALS,LAVENDER,6XL,18,,,,,,,,,,,,,,,,,,,,,,
28,E2560,,NAVY,6,2,,,,,,,,,,,,,,,,,,,,,,
28,E2560,,NAVY,10,4,,,,,,,,,,,,,,,,,,,,,,
28,E2560,,NAVY,14,3,,,,,,,,,,,,,,,,,,,,,,
28,E2532,,PRINT,2,4,,,,,,,,,,,,,,,,,,,,,,
29,E1244,,BLACK,2,1,,,,,,,,,,,,,,,,,,,,,,
29,E1657,,BLACK,8,3,,,,,,,,,,,,,,,,,,,,,,
29,E2225,,BLACK / GREEN,6,2,,,,,,,,,,,,,,,,,,,,,,
29,BD2001744,,BROWN,L,1,,,,,,,,,,,,,,,,,,,,,,
29,B8808,,IVORY/NAVY,S,1,,,,,,,,,,,,,,,,,,,,,,
29,570,MILANO,NAVY,M,1,,,,,,,,,,,,,,,,,,,,,,
29,E2560,,NAVY,2,1,,,,,,,,,,,,,,,,,,,,,,
29,E2101,,WINE,14,1,,,,,,,,,,,,,,,,,,,,,,
29,E1984,,,18,2,,,,,,,,,,,,,,,,,,,,,,
29,E1984,,,6,1,,,,,,,,,,,,,,,,,,,,,,
29,E1984,,,14,1,,,,,,,,,,,,,,,,,,,,,,
29,E1984,,,10,1,,,,,,,,,,,,,,,,,,,,,,
30,570,MILANO,PERRI,S,14,,,,,,,,,,,,,,,,,,,,,,
30,570,MILANO,PERRI,L,5,,,,,,,,,,,,,,,,,,,,,,
30,570,MILANO,PERRI,M,3,,,,,,,,,,,,,,,,,,,,,,
30,570,MILANO,PERRI,5XL,23,,,,,,,,,,,,,,,,,,,,,,
30,570,MILANO,PERRI,2XL,1,,,,,,,,,,,,,,,,,,,,,,
30,570,MILANO,PERRI,3XL,1,,,,,,,,,,,,,,,,,,,,,,
30,570,MILANO,PERRI,XL,2,,,,,,,,,,,,,,,,,,,,,,
30,570,MILANO,PERRI,4XL,6,,,,,,,,,,,,,,,,,,,,,,
31,AA9307,ANDY ANAND,,12,1,,,,,,,,,,,,,,,,,,,,,,
31,AA9308,ANDY ANAND,,10,1,,,,,,,,,,,,,,,,,,,,,,
33,E1696,,BLACK,4,4,,,,,,,,,,,,,,,,,,,,,,
33,E1696,,BLACK,6,1,,,,,,,,,,,,,,,,,,,,,,
33,E1013,,SUNSHINE,14,3,,,,,,,,,,,,,,,,,,,,,,
33,E1013,,SUNSHINE,22,2,,,,,,,,,,,,,,,,,,,,,,
33,E1799,,TEAL,4,2,,,,,,,,,,,,,,,,,,,,,,
33,E1799,,TEAL,10,1,,,,,,,,,,,,,,,,,,,,,,
33,E1799,,TEAL,16,1,,,,,,,,,,,,,,,,,,,,,,
