STYLE NO.,COLOR,QUANTITY
BD2001744,Brown,1.0
BD2006/10,Beige,7.0
BD2006/183,Midnightblue,11.0
BD2006/200,,42.0
BD2006/200,Black,2.0
BD2006/24,Black,35.0
BD2006/344,Olivegreen,39.0
BD2006/413,,18.0
BD2006/502,Offwhite,22.0
BD2006/502,,2.0
BD2006/66,Black,46.0
BD2006/741,,13.0
BD2006/741,Purple,25.0
BD2006/7412,Black,1.0
BD2006/972,Wine,1.0
BD2007/09,,2.0
BD2007/10,Coffee,1.0
BD2007/10,Gold,1.0
BD2007/101,,6.0
BD2007/182,,22.0
BD2007/183,Blackgrey,1.0
BD2007/183,Grey,2.0
BD2007/4117,,2.0
BD2007/417,,11.0
E0021,Coral,1.0
E1013,Claret,7.0
E1013,Fuchsia,3.0
E1013,Lilac,34.0
E1013,Pink,1.0
E1013,Sangria,14.0
E1013,Sunshine,17.0
E1013,Truffle,39.0
E1018,Orange,10.0
E1022,Purple,14.0
E1022,Sunrise,1.0
E1022,Sunshine,1.0
E1024,Truffle,21.0
E1024,Persimmon,34.0
E1024,Lilac,6.0
E1024,Banana,26.0
E1024,Mint,18.0
E1025,Navy,1.0
E1028,White,2.0
E1032,Black,4.0
E1032,Pistachio,14.0
E1032,Sunshine,36.0
E1044,Darkceladon,1.0
E1064,Charcoal,12.0
E1064,Mint,10.0
E1068,Kiwi,28.0
E1068,Burgundy,26.0
E1068,Victorialilac,7.0
E1071,Truffle,17.0
E1071,Peachfizz,8.0
E1089,Sunshine,13.0
E1089,Coral,10.0
E1089,Peach,28.0
E1118,Coral,19.0
E1118,Lilac,36.0
E1118,Purple,5.0
E1119,Burgundy,31.0
E1119,Champagne,15.0
E1119,Victorialilac,55.0
E1127,Darkpink,9.0
E1127,Truffle,34.0
E1168,Victorialilac,3.0
E1168,Truffle,39.0
E1168,Teal,34.0
E1168,Sage,74.0
E1168,Navy,1.0
E1168,Lilac,8.0
E1168,Burgundy,9.0
E1168,Red,1.0
E1170,Apricot,1.0
E1194,Fuchsia,22.0
E1194,Skyblue,5.0
E1194,Teal,9.0
E1194,White,1.0
E1201,Wine,1.0
E12126,Black,1.0
E1244,Black,1.0
E1250,Coral,3.0
E1259,Skyblue,15.0
E1259,White,1.0
E1259,Gold,2.0
E1259,Pink,2.0
E1260,Claret,1.0
E1260,Jade,35.0
E1260,Pink,4.0
E1260,Purple,1.0
E1260,Skyblue,29.0
E1260,Truffle,45.0
E1264,Victorialilac,1.0
E1264,Teal,51.0
E1264,Sage,1.0
E1264,Orange,1.0
E1264,Silver,1.0
E1264,Lilac,6.0
E1264,Coral,48.0
E1264,Claret,24.0
E1264,Black,15.0
E1264,Navy,5.0
E1265,Blue,5.0
E1265,Coffee,2.0
E1265,Green,4.0
E1270,Teal,52.0
E1270,Pool,30.0
E1270,Peach,1.0
E1270,Coral,38.0
E1270,Fuchsia,57.0
E1270,Lilac,3.0
E1275,Darklilac,2.0
E1278,Grey,10.0
E1285,Sage,3.0
E1285,Pink,1.0
E1285,Purple,4.0
E1285,Fuchsia,23.0
E1285,Lilac,23.0
E1285,Cafe,3.0
E1294,Teal,8.0
E1295,Fuchsia,20.0
E1295,Pool,1.0
E1295,Sage,3.0
E1295,Teal,41.0
E1295,Truffle,74.0
E1295,Watermelon,1.0
E1303,Grey,5.0
E1312,Claret,33.0
E1312,Sangria,2.0
E1312,Silver,1.0
E1312,Sunshine,18.0
E1319,Whiteblack,12.0
E1319,Purple,1.0
E1322,Purple,19.0
E1326,Navy,11.0
E1327,Black,7.0
E1333,Teal,6.0
E1334,Fuchsia,33.0
E1336,Lilac,7.0
E1336,Purple,1.0
E1340,Applered,4.0
E1340,Black,10.0
E1340,Coral,5.0
E1340,Pool,8.0
E1340,Purple,34.0
E1340,Red,6.0
E1340,White,34.0
E1342,Fuchsia,6.0
E1344,Yellow,20.0
E1347,Blue,6.0
E1348,Platinum,7.0
E1350,White,2.0
E1354,Lilac,17.0
E1355,Yellow,1.0
E1356,Skyblue,1.0
E1356,Truffle,16.0
E1356,Coral,3.0
E1369,Purple,2.0
E1371,Appleredwhite,31.0
E1371,Sage,3.0
E1371,Trufflewhite,29.0
E1378,Red,9.0
E1379,Truffle,39.0
E1379,Watermelon,7.0
E1379,Teal,1.0
E1379,Navy,2.0
E1379,Peacock,38.0
E1379,Coral,15.0
E1379,Sage,1.0
E1381,Purple,30.0
E1385,Red,3.0
E1386,Lilac,7.0
E1386,Plum,10.0
E1387,Green,10.0
E1387,Pink,32.0
E1387,Turquoise,24.0
E1391,Purple,55.0
E1391,Claret,17.0
E1391,Royal,13.0
E1396,Purple,2.0
E1412,Black,45.0
E1412,Brown,86.0
E1412,Royal,48.0
E1420,Champagne,6.0
E1420,Purple,21.0
E1420,Royal,57.0
E1420,Seablack,1.0
E1421,Coral,46.0
E1421,Grey,22.0
E1421,Royal,11.0
E1421,Silver,3.0
E1422,Purple,32.0
E1424,Teal,13.0
E1428,Purple,5.0
E1431,Coral,1.0
E1436,Pool,7.0
E1436,Victoria,16.0
E1438,Black,9.0
E1439,Emerald,12.0
E1439,Grey,1.0
E1439,Teal,21.0
E1442,Black,4.0
E1448,Purpleblack,3.0
E1449,Silver,2.0
E1452,Purple,20.0
E1462,Skyblue,6.0
E1463,Teal,42.0
E1463,Truffle,37.0
E1463,Coral,25.0
E1465,Purple,2.0
E1467,Gold,11.0
E1470,Gold,21.0
E1470,Peach,3.0
E1472,Royal,1.0
E1497,Purple,1.0
E1502,Claret,30.0
E1502,Ivory,19.0
E1502,Navy,36.0
E1502,Pool,1.0
E1502,Red,2.0
