Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Product Category,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,metafield.custom.clothing_features,metafield.custom.dress_occasion,metafield.custom.dress_style,metafield.custom.skirt_dress_length_type
aa9319,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9319_White-Ivory_3.png?v=1727407786,6,,,,,
aa9320,ANDY ANAND COUTURE Wedding AA9320,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,10.0,AA9320_WHITE_10,,shopify,1.0,deny,manual,923.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9320_White_1.png?v=1727407855,1,ANDY ANAND COUTURE aa9320 WHITE,"WHITE, WHITE Wedding",Wedding,AA9320,Wedding
aa9320,ANDY ANAND COUTURE Wedding AA9320,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,12.0,AA9320_WHITE_12,,shopify,1.0,deny,manual,923.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9320_White_1.png?v=1727407855,1,ANDY ANAND COUTURE aa9320 WHITE,"WHITE, WHITE Wedding",Wedding,AA9320,Wedding
aa9320,ANDY ANAND COUTURE Wedding AA9320,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,14.0,AA9320_WHITE_14,,shopify,1.0,deny,manual,923.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9320_White_1.png?v=1727407855,1,ANDY ANAND COUTURE aa9320 WHITE,"WHITE, WHITE Wedding",Wedding,AA9320,Wedding
aa9321,ANDY ANAND COUTURE Wedding AA9321,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"IVORY,IVORY Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,6.0,AA9321_IVORY_6,,shopify,1.0,deny,manual,748.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9321_White-Ivory_3.png?v=1727407817,1,ANDY ANAND COUTURE aa9321 IVORY,"IVORY, IVORY Wedding",Wedding,AA9321,Wedding
aa9321,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9321_White-Ivory_4.png?v=1727407812,2,,,,,
aa9321,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9321_White-Ivory_1.png?v=1727407810,3,,,,,
aa9321,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9321_White-Ivory_2.png?v=1727407804,4,,,,,
aa9322,ANDY ANAND COUTURE Wedding AA9322,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"IVORY,IVORY Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,IVORY,Size,12.0,AA9322_IVORY_12,,shopify,1.0,deny,manual,748.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9322_White-Ivory_2.png?v=1727407805,1,ANDY ANAND COUTURE aa9322 IVORY,"IVORY, IVORY Wedding",Wedding,AA9322,Wedding
aa9322,ANDY ANAND COUTURE Wedding AA9322,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,8.0,AA9322_WHITE_8,,shopify,2.0,deny,manual,748.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9322_White-Ivory_2.png?v=1727407805,1,ANDY ANAND COUTURE aa9322 WHITE,"WHITE, WHITE Wedding",Wedding,AA9322,Wedding
aa9322,ANDY ANAND COUTURE Wedding AA9322,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,14.0,AA9322_WHITE_14,,shopify,1.0,deny,manual,748.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9322_White-Ivory_2.png?v=1727407805,1,ANDY ANAND COUTURE aa9322 WHITE,"WHITE, WHITE Wedding",Wedding,AA9322,Wedding
aa9322,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9322_White-Ivory_1.png?v=1727407804,2,,,,,
aa9322,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9322_White-Ivory_3.png?v=1727407803,3,,,,,
aa9326,ANDY ANAND COUTURE Wedding AA9326,"<p>This is a Wedding dress by ANDY ANAND COUTURE.</p>
<ul>",ANDY ANAND COUTURE,Wedding,"WHITE,WHITE Wedding",TRUE,Apparel & Accessories > Clothing > Dresses,Color,WHITE,Size,8.0,AA9326_WHITE_8,,shopify,1.0,deny,manual,748.0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9326_White-Ivory_1.png?v=1727407813,1,ANDY ANAND COUTURE aa9326 WHITE,"WHITE, WHITE Wedding",Wedding,AA9326,Wedding
aa9326,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/AA9326_White-Ivory_2.png?v=1727407810,2,,,,,
